INFO:     Started server process [10668]
INFO:     Waiting for application startup.
2026-04-10 11:25:23,546 | INFO | assignment2.api | Application startup beginning
2026-04-10 11:25:23,546 | INFO | assignment2.api | API runtime configured: host=127.0.0.1 port=8000 log_level=info
2026-04-10 11:25:23,546 | INFO | assignment2.api | Resolved active artifact files: feature_schema=D:\ml_course_classroom\ml-1-course-jo-soroush\assignments\assignment_2\classifier_deploy\artifacts\feature_schema.json model_metadata=D:\ml_course_classroom\ml-1-course-jo-soroush\assignments\assignment_2\classifier_deploy\artifacts\model_metadata.json tree_preprocessor=D:\ml_course_classroom\ml-1-course-jo-soroush\assignments\assignment_2\classifier_deploy\artifacts\tree_preprocessor.pkl xgb_model=D:\ml_course_classroom\ml-1-course-jo-soroush\assignments\assignment_2\classifier_deploy\artifacts\xgb_model.json mlp_model=D:\ml_course_classroom\ml-1-course-jo-soroush\assignments\assignment_2\classifier_deploy\artifacts\mlp_model.pt mlp_preprocessor=D:\ml_course_classroom\ml-1-course-jo-soroush\assignments\assignment_2\classifier_deploy\artifacts\mlp_preprocessor.pkl category_maps=D:\ml_course_classroom\ml-1-course-jo-soroush\assignments\assignment_2\classifier_deploy\artifacts\category_maps.json
2026-04-10 11:25:23,549 | INFO | assignment2.api | Loading artifact: feature_schema path=D:\ml_course_classroom\ml-1-course-jo-soroush\assignments\assignment_2\classifier_deploy\artifacts\feature_schema.json
2026-04-10 11:25:23,551 | INFO | assignment2.api | Loaded artifact successfully: feature_schema schema_version=telco_churn_schema_v1 path=D:\ml_course_classroom\ml-1-course-jo-soroush\assignments\assignment_2\classifier_deploy\artifacts\feature_schema.json
2026-04-10 11:25:23,552 | INFO | assignment2.api | Loading artifact: model_metadata path=D:\ml_course_classroom\ml-1-course-jo-soroush\assignments\assignment_2\classifier_deploy\artifacts\model_metadata.json
2026-04-10 11:25:23,552 | INFO | assignment2.api | Loaded artifact successfully: model_metadata path=D:\ml_course_classroom\ml-1-course-jo-soroush\assignments\assignment_2\classifier_deploy\artifacts\model_metadata.json
2026-04-10 11:25:23,552 | INFO | assignment2.api | Loading artifact: tree_preprocessor path=D:\ml_course_classroom\ml-1-course-jo-soroush\assignments\assignment_2\classifier_deploy\artifacts\tree_preprocessor.pkl
2026-04-10 11:25:23,555 | INFO | assignment2.api | Loaded artifact successfully: tree_preprocessor path=D:\ml_course_classroom\ml-1-course-jo-soroush\assignments\assignment_2\classifier_deploy\artifacts\tree_preprocessor.pkl
2026-04-10 11:25:23,556 | INFO | assignment2.api | Loading artifact: xgb_model path=D:\ml_course_classroom\ml-1-course-jo-soroush\assignments\assignment_2\classifier_deploy\artifacts\xgb_model.json
2026-04-10 11:25:23,575 | INFO | assignment2.api | Loaded artifact successfully: xgb_model path=D:\ml_course_classroom\ml-1-course-jo-soroush\assignments\assignment_2\classifier_deploy\artifacts\xgb_model.json
2026-04-10 11:25:23,617 | INFO | assignment2.api | Tree SHAP explainability initialized successfully
2026-04-10 11:25:23,618 | INFO | assignment2.api | Loading artifact: mlp_preprocessor path=D:\ml_course_classroom\ml-1-course-jo-soroush\assignments\assignment_2\classifier_deploy\artifacts\mlp_preprocessor.pkl
2026-04-10 11:25:23,619 | INFO | assignment2.api | Loaded artifact successfully: mlp_preprocessor path=D:\ml_course_classroom\ml-1-course-jo-soroush\assignments\assignment_2\classifier_deploy\artifacts\mlp_preprocessor.pkl
2026-04-10 11:25:23,620 | INFO | assignment2.api | Loading artifact: category_maps path=D:\ml_course_classroom\ml-1-course-jo-soroush\assignments\assignment_2\classifier_deploy\artifacts\category_maps.json
2026-04-10 11:25:23,621 | INFO | assignment2.api | Loaded artifact successfully: category_maps path=D:\ml_course_classroom\ml-1-course-jo-soroush\assignments\assignment_2\classifier_deploy\artifacts\category_maps.json
